Stock Code,Investment_2019,Predicted_Investment_2019
603609,90465.85532,120188.06291775999
619,41157.93708,55498.963339117065
600217,58122.56195,68935.61371693271
860,500285.8613,307799.2086045374
422,38242.91411,41107.162765681394
300775,34398.7359,-2428.069989476411
600448,36515.13048,78533.43892651296
786,435515.735,545546.3673038417
957,-4524.055925,2109.455104167748
600887,345813.1541,493808.0130123545
697,44896.20679,73900.18437890895
600545,16788.67708,22738.876975730294
912,45173.67624,96114.03819045529
622,53804.84266,20501.607077964698
601118,196238.4895,132039.9772180919
600397,10979.28571,35628.45136728417
600395,70000.83718,138369.01984412048
600740,88660.34506,60751.50408411375
600409,109159.116,98490.45167970977
2110,245810.5699,217492.4526631448
960,322414.8795,288293.7249969613
600592,54531.40735,70108.6077627113
927,103445.4183,18408.689811023418
600679,8590.127861,13613.961926936754
2066,27682.82777,8562.558462465415
600108,25174.04326,34652.0506773314
300777,4488.418144,16923.725939428434
600516,340030.1774,204077.13405316998
603321,5485.27221,29496.892727628292
2843,3605.868,27546.420580142643
603787,1254.923136,10079.908455392695
600099,11669.966,-17685.08657573082
600731,22687.2651,25326.00040524383
2774,2460.024054,27596.836091532954
300539,2653.351445,29720.403480390087
2013,169412.3547,192628.69516798237
603067,21992.13657,39940.47119072598
600184,-6292.019973,2217.9740717925597
601015,65910.86521,63363.20175550837
600063,24704.81859,32444.42498983047
768,1281437.114,-91290.52332946064
2054,43865.36247,44146.81586149876
600421,13537.92666,41450.05264582037
901,-11059.34526,32.24443022435298
603668,8896.813837,22787.043804008223
600096,97711.92399,103213.16022331879
895,292208.9672,226143.91908879438
910,57696.44397,88122.60087788111
600532,11766.79381,7862.277320331836
600197,129104.6096,99470.97487516917
878,221653.09,218934.69599093043
973,100896.4578,67001.62393796572
600426,223447.1519,404444.8941732348
600727,34484.64521,44566.93781077105
600313,42440.48735,51104.780930031964
576,18775.0798,41583.88453984866
818,195342.4449,122676.18402573682
782,33582.85272,30161.79296562163
300589,7129.044621,17625.88588610175
600022,252648.5544,270756.94612684764
2082,11787.70178,42356.602504444425
625,1046028.933,45026.29954973189
600600,573899.0826,369368.53223568865
600213,16921.443,28610.718952301017
2046,8953.978932,1483.6199926352128
600495,31298.48694,58765.42602160113
698,36189.86729,2215.643192437128
600172,22934.74699,35769.06450688373
890,18978.6555,23200.812889426597
600984,55755.44539,70053.33483733697
600235,39394.30775,34959.30082930415
600135,45803.18978,62256.109149046126
2915,6285.744183,64607.3453590307
603977,9065.922879,14512.788960814883
603688,23902.27059,62750.73329880537
600126,253273.5204,196591.22639703995
603655,7568.46613,44993.61895324191
600282,177051.0085,142704.40600797714
600166,61599.19356,146150.00587659987
737,9460.387531,9311.10730596946
611,5372.096333,27114.58562945167
903,12171.90171,39098.4543258957
983,145349.0921,134103.41773675568
600597,219236.3649,207289.62833534484
930,39509.52669,99582.80918072729
2125,10844.78737,46509.72637601814
600507,201020.478,138053.67201618996
603026,82720.16032,81017.90577289963
300772,5511.09153,42926.06488135498
603318,116835.2995,16618.807078815065
600075,60082.00687,85515.74689338426
2840,13762.52568,36154.60267428501
830,90047.88795,231721.76938987325
600378,17581.68219,67675.34112861747
603638,182143.8697,-9397.203764849168
603766,60320.22491,80813.41564382688
600256,443112.8707,336060.7330981898
975,118817.2333,267784.0116970751
600458,44399.70912,61212.46009856538
2092,120112.7432,203332.99053364608
601600,318162.3799,456057.4940764059
600097,21880.71547,48613.90444010822
300527,153047.5116,-6305.445869126765
2037,14739.90231,40196.10550984903
600540,26372.27916,36425.209559360286
600403,150442.253,108211.40808671119
600978,42282.89263,47130.95085528394
887,174730.4017,164904.80773898342
572,59349.45556,24676.25645121571
600698,2914.70062,-380.25236042629695
2083,106834.814,110367.81672932493
600963,23515.64409,29075.4457566482
2064,71699.54184,179632.48893718375
600449,50136.95519,63920.80626870983
713,60991.39893,52026.53720517445
600486,179164.6814,244007.83467630588
603879,6812.076326,37747.3502248475
601001,65480.60026,23872.62387938093
603826,27593.82416,54102.62727541715
600819,22194.18451,48947.01028436818
600569,49475.88756,65598.826413689
612,34686.59729,36608.49452684092
600459,62958.41462,67626.93637921358
800,-42112.96297,-22695.337416328257
603036,30189.35501,43770.604679576005
2770,8894.112776,30084.359766064037
601058,125664.3139,84010.16675870033
600326,59939.1295,73374.21152254811
603159,21191.8263,19036.781457010482
600782,121917.2728,148758.14558615116
2009,31166.95939,56854.43400116998
603111,17280.77696,69630.7988231515
762,25965.32555,61915.80520066968
876,201765.0992,596165.0943819659
523,60074.9707,76636.90569652594
603283,107449.4757,56729.866357043094
300655,31721.86144,57089.42296210199
2246,18702.45199,27590.73767636309
600423,47525.96361,16473.02088507818
600539,17562.33161,-11619.13182441343
2160,3991.970446,22318.346316206094
600893,238563.3261,371592.34050835716
420,27165.06888,46150.231707969564
688108,3098.827757,8776.982961260306
600467,24982.7805,60359.32727085339
600275,12092.85329,2101.901307687862
600997,123727.9364,104033.40304700535
881,31170.10389,35350.29213888734
600389,88884.90146,82945.42323318735
600490,44761.11274,118842.0956256392
600178,20351.85152,24222.700022868055
300401,82462.69459,80195.1504863904
600186,42813.00476,65572.77738132025
603009,32463.83268,18478.774099591712
600104,1511820.689,1817125.9479533327
2012,21753.88182,28448.25096739328
2895,17168.94488,63528.51768375677
300599,3705.511819,47229.495031349885
702,4618.503349,8417.613500621868
600365,8562.5164,-49260.781338559755
603196,16493.56399,46773.025018571
600356,13531.27413,70230.84222396533
600305,61347.60788,68692.87935944885
601899,312412.8237,296046.6031876161
601020,61073.79688,50592.872287689184
2722,22221.24266,46415.8525258454
529,25388.74077,25018.042413560557
600987,34950.71208,79301.8090434352
600388,211260.8473,39951.38571668527
600526,50382.07214,-3679.025442706654
738,450754.5703,13214.478868377162
600967,104619.4486,158958.13296793017
2743,15428.88568,47141.391616535955
798,26077.08501,55686.06660812162
603085,11743.79088,28161.156436406774
600339,32810.92495,34769.75789398467
600702,47514.01946,70255.52197130542
600372,7266.120845,34864.88833502447
2053,9937.109815,15869.456873237039
600596,73974.707,69521.04967681441
2002,123176.1247,126633.04467571923
603966,12513.47135,41012.5786890157
729,85267.51315,214143.67936789477
600531,62563.53426,66628.43465147557
2031,83581.8881,47254.817286513746
603687,17033.63181,42386.417399478145
2003,21939.40128,35095.85177793697
603,89405.18848,103171.17453786475
600581,133983.9409,112795.68132546399
601989,290616.6095,378259.0389706994
2050,68701.9997,172931.1104903405
600400,72193.20129,125578.77121700149
2068,32743.1494,36104.9162986303
600992,12141.00311,34375.462089442415
2691,54280.42428,-2723.0907426617923
751,21078.49066,20348.083640824712
600573,15019.68,9306.586102546076
2029,68194.29367,73200.0421633608
2910,9747.275197,43014.177636654174
2909,3523.359411,44553.035634953994
2196,77762.59364,47174.444983035035
2086,13958.67665,47835.09996067855
600438,646053.5996,483993.0246034538
933,39362.63333,32634.30835581082
600558,19835.92233,36496.253587921965
600110,37484.49788,21929.502146602143
603178,4720.318344,24142.10932952707
600081,14692.95126,51258.95359298593
603855,52888.89535,25147.29940522689
707,16109.93924,38427.81023831508
300400,47498.04956,-1422.6208368313964
600370,17339.33849,68077.43262036395
603536,26139.10973,44555.81124583754
300697,9575.8936,11749.912706304516
821,455055.6412,34624.17968379945
2765,44455.34208,47312.652501590666
2094,37910.92526,54009.82642800058
2205,3637.41718,21172.47030624142
2808,6314.296709,33793.59896952403
929,14564.18824,1194.1872852875385
300503,13361.86349,54810.21127160429
2006,40960.55834,16185.263388655323
603557,37881.01568,54404.72416311409
603838,18646.43228,44908.784504118084
717,151328.0339,152604.7263639795
2243,64315.68441,42337.590008447354
603389,12745.0916,25586.069351144077
949,34709.11441,34474.77117613412
603399,60896.02403,89334.44366097118
937,236313.8569,127290.20363816153
603289,9308.992902,7310.958078853961
600084,5829.501494,13683.558947372192
600210,27800.23583,73498.79505755549
2207,25092.8429,45588.044530343264
600038,449648.0854,12424.3347615159
603697,2695.394394,45986.72807689739
600328,16425.79772,17305.716165070888
603612,15321.24134,32186.099800460914
603848,13571.6827,25569.63958339038
603601,52507.28915,96935.03232914174
300461,10126.83286,9351.172908523236
603286,2850.654833,37335.73511533212
758,33553.60049,89424.25404439488
603997,10893.69784,44773.6884392965
2799,27461.9832,57625.175362696114
900908,2819.640368,54622.362729725835
600872,184089.2131,238599.49379426532
799,97188.6315,116596.23043738684
300684,13752.3131,65650.71634729777
600500,26598.48246,40961.406896118075
60,63015.4344,124228.14020092873
2132,15419.02988,62020.989676885714
2689,26029.5536,90074.07552230626
600262,13126.37753,28935.11386517546
600501,7082.20914,23819.833503859176
600960,358.5358586,17839.500843741174
2084,13022.02967,28959.440661472676
2730,19808.8924,41859.81951211492
2136,22551.04696,34181.81867910555
2836,20078.49168,56886.53152891074
600107,28211.05152,46924.415836904605
600338,186481.7328,147697.95900092716
601666,56335.75075,87894.04470603314
600742,-2618.693534,762.0679242695915
600348,55475.50008,90482.49113271182
2164,75.1427907,21210.441776800086
925,78382.736,47824.49906900787
601965,60375.69635,39702.641412195284
2827,42877.59621,36220.153666540864
300576,8004.443317,36087.764480202575
300420,40427.99393,60812.27769754414
300629,8708.992598,16258.350300210237
603308,19647.43087,27914.574285473907
2816,24678.69819,54390.666048055864
601177,47737.00248,67805.69905767957
936,44252.69158,74897.51503530628
600595,15637.23905,84654.7580731851
2760,13281.99674,58443.09403373016
2846,6251.540978,29541.918244747794
985,19913.3397,25922.991808575636
300727,8939.559349,33120.69684631005
300606,3863.278064,30003.26426364982
603615,7833.638247,61024.693113150075
2126,48626.77944,65437.13445876702
603157,7014.499759,33774.32830554969
603090,8377.2234,62511.50607558945
600758,36150.6311,32354.094686361146
596,183750.5606,441456.9413489882
2149,52406.56243,62535.44431083865
2778,14343.3276,30869.769701086567
39,79364.87736,135024.01605247316
600352,522709.8759,392722.37264712027
816,10310.46643,47851.14013759425
600206,93098.14595,83128.08713766985
600055,50797.80729,40016.79606819659
603088,25125.65701,-8319.133940412255
600311,25079.31329,38958.54860801197
982,90075.14231,121386.10527697176
2014,44286.30713,27420.735348659044
603912,6492.326867,23977.86154115136
2026,18516.48664,-1751.0948223057785
300680,1477.960544,4272.710254211503
976,-9768.916347,24580.0160101144
981,4845.685736,41074.858546140196
708,99977.20532,72467.63356640714
2111,770.5783031,22134.088533935486
603021,14775.28954,28813.331146455195
603269,13584.60823,38170.63637878047
603667,14474.4588,48030.31515297212
600303,7358.320736,40089.45242176723
600059,44361.2537,54920.09951662016
731,40883.26084,55562.427383196366
300446,7679.628106,34068.03037725313
600277,187129.1167,175337.39354492712
600257,34282.00517,54817.94024847832
2167,46493.36188,49941.676353630784
603617,10082.59201,23697.316298785096
603029,37597.11055,-6822.915003609378
300486,29654.44819,-10452.430797724694
600226,54131.44389,111851.00144649815
603818,45360.28761,56153.50205128908
2080,161865.9275,191832.81492132146
600508,56362.94925,90142.28862383327
601636,193410.595,161257.5141034054
601992,156386.4044,187223.92367232882
600560,14831.96422,27143.47614924825
603916,46471.3021,42880.917829295504
2865,4979.756334,4636.3957938459935
600302,1163659.869,51956.97158468439
600988,73218.51995,128963.67030358949
2158,46570.20599,77783.52417063521
601238,271916.956,7630.979062128637
688389,3115.610534,12897.917889062606
300481,28805.28976,66419.00490710814
300421,8891.341406,46615.312837880745
2847,20794.3206,39518.50480166264
603958,28406.43932,28316.901963126205
600315,91290.2186,252502.7000986723
600722,22908.37721,64441.512479041994
600331,35529.57893,30957.32705969148
603027,79253.2453,110251.37000742363
300537,41003.52345,47987.63910909172
600975,87273.99084,67107.8753389499
600319,29856.30227,53965.16800878744
2008,349906.8545,-85589.47251489799
600587,8560.521345,36086.53161778615
603055,9971.951866,42872.589883426204
709,539403.9529,329112.4818999942
2735,14098.0171,13970.284243986534
603499,1626.949385,42670.9162394203
603360,27465.80857,55303.57171249902
300586,5481.159348,37393.947917156445
603336,47757.24068,52860.514442941174
601952,27771.17912,60028.27435185842
2239,64624.64918,63334.536181458796
603683,4769.019223,32615.941227694333
2224,16294.10197,71164.35400913015
2096,13225.53726,39253.115064589656
962,25448.35054,53454.341572648205
600219,269424.0033,242910.60094470205
2223,366133.8478,-51316.06857132213
600528,251169.6401,60196.03438979457
603987,67606.90637,35752.42399265093
603960,86257.91159,20269.20911920129
2802,13199.13617,52050.30985864054
603906,12473.31333,43730.16578047769
600586,8821.22598,10747.297668083396
603937,2470.757641,17154.41397870332
300580,40397.20794,45339.663608326635
600583,395999.3323,258114.47772221838
2004,130050.824,175081.7311575642
